Scraped Date,Category,Series name,Release Year,Season Number,Episode Number,Episode Title,Links
2018-04-06,CWTV Shows,Arrow,2012,6,16,The Thanatos Guild,{'cwtv': ['a84c8dc5-6c29-48a7-bc23-4f62370bb135']}
2018-04-06,CWTV Shows,Arrow,2012,6,15,Doppelganger,{'cwtv': ['22dcd584-3b77-44c7-8d87-4bf3e959f4f0']}
2018-04-06,CWTV Shows,Arrow,2012,6,14,Collision Course,{'cwtv': ['66d56e12-6c79-422e-923d-d791662f48a1']}
2018-04-06,CWTV Shows,Arrow,2012,6,13,The Devil's Greatest Trick,{'cwtv': ['43171605-7b33-4a7b-9e82-3113a689c20f']}
2018-04-06,CWTV Shows,Arrow,2012,6,12,All for Nothing,{'cwtv': ['7aae9525-1982-4f82-bb1d-5d8a8a5ddc1c']}
2018-04-06,CWTV Shows,Black Lightning,2018,1,11,Black Jesus: The Book of Crucifixi...,{'cwtv': ['b3a0aa75-4c35-48aa-92b9-58e34ee51e54']}
2018-04-06,CWTV Shows,Black Lightning,2018,1,10,Sins of the Father: The Book of Re...,{'cwtv': ['fc181da0-8d1f-4589-8eb2-b2fe5eb724e4']}
2018-04-06,CWTV Shows,Black Lightning,2018,1,9,The Book of Little Black Lies,{'cwtv': ['623c25f4-387b-4b3c-aae3-f6ec9b9b8816']}
2018-04-06,CWTV Shows,Black Lightning,2018,1,8,The Book of Revelations,{'cwtv': ['3fe5ee2a-2564-492a-ba84-b33ea3d23452']}
2018-04-06,CWTV Shows,Black Lightning,2018,1,7,Equinox: The Book of Fate,{'cwtv': ['00d2939e-a26e-4e60-8f6a-cec1a261587d']}
2018-04-06,CWTV Shows,Crazy Ex-Girlfriend,2015,3,13,Nathaniel Is Irrelevant.,{'cwtv': ['62b4836e-4987-40c5-ae55-6d6c3d913612']}
2018-04-06,CWTV Shows,Crazy Ex-Girlfriend,2015,3,12,Trent?!,{'cwtv': ['8fa412af-2294-459e-abee-6942042d3c70']}
2018-04-06,CWTV Shows,Crazy Ex-Girlfriend,2015,3,11,Nathaniel and I are Just Friends!,{'cwtv': ['8b92c001-d74d-43e6-a3b5-8df93ffeaee5']}
2018-04-06,CWTV Shows,Crazy Ex-Girlfriend,2015,3,10,"Oh Nathaniel, It's On!",{'cwtv': ['cbb3c0e2-ec3e-4ff4-9544-dc5de26b1cd7']}
2018-04-06,CWTV Shows,Crazy Ex-Girlfriend,2015,3,9,Nathaniel Gets The Message!,{'cwtv': ['14c83189-6313-42a4-9567-70b5b7f2e1de']}
2018-04-06,CWTV Shows,DC's Legends of Tomorrow,2016,3,17,Guest Starring John Noble,{'cwtv': ['090f46bb-6f12-4b4d-9360-f40bda1d0d50']}
