Scraped date,Category,Series Title,Release Year,SNO,ENO,Episode Title,links
2018-03-13,FOX Shows,The Resident,2018,1,7,The Elopement,{'fox': ['e67f461635ac1494bf64babe4e5e977a']}
2018-03-13,FOX Shows,The Resident,2018,1,6,No Matter The Cost,{'fox': ['44618d7b3539e01c6a7147f0c6feab75']}
2018-03-13,FOX Shows,The Resident,2018,1,5,None the Wiser,{'fox': ['4e011bc5d5c99897fa1de5e4e1724f11']}
2018-03-13,FOX Shows,The Resident,2018,1,4,Identity Crisis,{'fox': ['9488f7e3ce9c0e2e4c4e2b1b2aceb7c3']}
2018-03-13,FOX Shows,The Resident,2018,1,3,Comrades in Arms,{'fox': ['ed8f0e40e3b5b11d311c6c0243946030']}
2018-03-13,FOX Shows,The Resident,2018,1,2,Independence Day,{'fox': ['a98337bc60462f5df18602d5a1b00b55']}
2018-03-13,FOX Shows,The Resident,2017,1,1,Pilot,{'fox': ['e611f35720b4d3a39f7e96b488132cc3']}
2018-03-13,FOX Shows,Lucifer,2017,3,17,Let Pinhead Sing!,{'fox': ['7ee172c2ddc68c0442c0edfff08a84da']}
2018-03-13,FOX Shows,Lucifer,2017,3,16,Infernal Guinea Pig,{'fox': ['a46a534077b4e6e65b4b22467f7bd4c9']}
2018-03-13,FOX Shows,Lucifer,2017,3,15,High School Poppycock,{'fox': ['09fb5e485e0746fbc27e09e6dc0471ac']}
2018-03-13,FOX Shows,Lucifer,2017,3,14,My Brother's Keeper,{'fox': ['a7090c6eb277c65506625d71927d31f8']}
2018-03-13,FOX Shows,Lucifer,2017,3,13,Til Death Do Us Part,{'fox': ['47db2a178593f04914a9f0acd8e334e8']}
2018-03-13,FOX Shows,Lucifer,2017,3,12,All About Her,{'fox': ['a3817c87b5479b890a7f2844bbec0993']}
2018-03-13,FOX Shows,Lucifer,2017,3,11,City of Angels?,{'fox': ['e15cc84a7f44d5161233c931c184a868']}
2018-03-13,FOX Shows,Lucifer,2017,3,10,The Sin Bin,{'fox': ['9d9ba1d3b94ea7f66beb421f48bb4d67']}
2018-03-13,FOX Shows,Lucifer,2017,3,9,The Sinnerman,{'fox': ['0749eae173a1d2bebcd51d99cf36803d']}
2018-03-13,FOX Shows,Lucifer,2017,3,8,Chloe Does Lucifer,{'fox': ['35a343dd00f924f992730a81c647e7c1']}
2018-03-13,FOX Shows,Lucifer,2017,3,7,Off the Record,{'fox': ['6a766b2743a3f77509ce172ea8da3ee3']}
2018-03-13,FOX Shows,Lucifer,2017,3,6,Vegas with Some Radish,{'fox': ['e6741b26a5599fa2d1ec89039b5c95c2']}
2018-03-13,FOX Shows,Lucifer,2017,3,5,"Welcome Back, Charlotte Richards",{'fox': ['428e681c7c884224bf7509a1539b26b4']}
2018-03-13,FOX Shows,Lucifer,2017,3,4,What Would Lucifer Do?,{'fox': ['3c9d3bb9a575b99b2b8553ad39cdf427']}
2018-03-13,FOX Shows,Lucifer,2017,3,3,Mr. and Mrs. Mazikeen Smith,{'fox': ['250b99973eceb19fab2dc2fa8adfeffb']}
2018-03-13,FOX Shows,Lucifer,2017,3,2,The One with the Baby Carrot,{'fox': ['7f3dc036931fb60eba09cd8ac871680c']}
2018-03-13,FOX Shows,Lucifer,2017,3,1,"They're Back, Aren't They?",{'fox': ['c9fc837c71a5c681aaf990dbdb417bb9']}
2018-03-13,FOX Shows,Wicked Tuna,2012,7,1,Worst to First,{'fox': ['059691496b7bf736c151f65203ca8bb8']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,12,The Time is Now,{'fox': ['c2fde01bf4805f38f05f070e62835b47']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,11,The End is Nigh,{'fox': ['df4d812db88635034980492f056a3c60']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,10,Purple Rain,{'fox': ['82fa6a31f115390664ccc94b506b20f1']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,9,Hissy Fit,{'fox': ['d5684469d8b07fe612a28cd4ee037058']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,8,Hickory Dickory Docked,{'fox': ['eca09458de0929008afb01a539a8d9a8']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,7,Captain Money Bags,{'fox': ['2e2c2b631ec85dc56e4f99f8de3900a4']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,6,Doldrums and Dog Days,{'fox': ['9636df05fbc74292a4a0c4a4072049e8']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,5,The Ego Has Landed,{'fox': ['dd47547a2ade97b2ef981fd0cfc422d8']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,4,Who Needs a Captain?,{'fox': ['f5a21ce7c8f689cab1a6659b40c50da9']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,3,Bluefin Brotherhood,{'fox': ['0713628a3b21a73dcec3e53e90eeb7eb']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,2,Trials & Tunalations,{'fox': ['d219a63ed67b4696134e39d0e4f713c7']}
2018-03-13,FOX Shows,Wicked Tuna,2012,6,1,The First Fish is the Hardest,{'fox': ['2828ba4104e7247ba9aec1fd3a8cce13']}
2018-03-13,FOX Shows,Wicked Tuna,2012,5,5,Big Hauls and Downfalls,{'fox': ['2b1cb1a46f3341937317233ec752e7b9']}
2018-03-13,FOX Shows,Wicked Tuna,2012,4,13,Tuna Trifecta,{'fox': ['f642c5eead85570912c66b1b710b3390']}
2018-03-13,FOX Shows,Wicked Tuna,2012,4,2,Anchor Anger,{'fox': ['517bfdf22f072756191288235e34f1ea']}
2018-03-13,FOX Shows,Wicked Tuna,2012,4,1,First Blood,{'fox': ['4bf27d3b079a100e24887c7d74e3877b']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,15,The Reckoning,{'fox': ['77fb51579d83893b382882608a782d82']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,14,The Mighty Bite,{'fox': ['96872f9a7125460212392999fa4ae823']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,13,Sharks and Recreation,{'fox': ['f6b66fa307dd6d32642fa24cb608f2c5']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,12,Bad Blood,{'fox': ['32cbf3c7265a5a636dd67d3bab5aa5a3']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,11,Tuna Beta Kappa,{'fox': ['96456544c64c7710aa8fd5be98883042']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,10,Blue Grit,{'fox': ['ef3b51261e58923816659a5bd89cd2d3']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,9,Brotherly Shove,{'fox': ['f5d01e153067032c43fe3a242031ed80']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,8,Battle Royale,{'fox': ['5c76fbe23e78727c2748f2da3caa5557']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,7,Bad Latitude,{'fox': ['199e901c79f536ab234b5de8ad7e8b44']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,6,Mission: Fishin!,{'fox': ['d41f4a43ad7a662dcb7d920b3fa1bebd']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,5,Bite Fight,{'fox': ['14b4ca3f0348a5f9153309b5f8ab9304']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,4,Operation T.U.N.A,{'fox': ['7843ec0c7f4d0e610c0d215bc56b9eee']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,3,Into the Storm,{'fox': ['9dc7c30b27446253d860e878bb15d650']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,2,Checkmate,{'fox': ['670abc548233c9a0795f4f2ff794bbd3']}
2018-03-13,FOX Shows,Wicked Tuna,2012,3,1,The Wicked Return,{'fox': ['7aaedb8447ba431ec45c6fc1b19d018c']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,15,Endgame,{'fox': ['39e08f63ee34efab9244e771f629e559']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,14,Money On The Line,{'fox': ['a250f7b0049b02b02f9dd13f83b8355f']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,13,Twice Bitten,{'fox': ['45d27179bf041de967b67f0b96182040']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,12,Uncharted Territory,{'fox': ['ea8f28845bb8381f967e9c6abe817b8e']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,11,All Hands on Deck,{'fox': ['b1b53fe1c1e6a6572828bef0e0430db3']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,10,Captain Carnage,{'fox': ['b8ebc25e1202432e66e2d83c8aba4f76']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,9,Meltdown,{'fox': ['4e49950b45fc218de1fa61c411d5233d']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,8,Hell on the High Seas,{'fox': ['10ae32e4f157111434ef0cb4bdd48693']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,7,Storm Warning,{'fox': ['70cdc38484a0792f7b52ebb372172bf0']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,6,Sweet Smell of Revenge,{'fox': ['10aaf94b959c160dba9db3393611bf90']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,5,Shark Attack,{'fox': ['f3195931dde87e5afc0b6ca12189aa5f']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,4,Fish Fight,{'fox': ['32fad6ffb85fbc5b9b03841f5c6c1615']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,3,The Numbers War,{'fox': ['5d4ec4915299f3e8e8b450c662d67533']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,2,Go Fish!,{'fox': ['f8baa601e687af017cc933fe11b1dc69']}
2018-03-13,FOX Shows,Wicked Tuna,2012,2,1,Back in the Hunt,{'fox': ['a73bcbc901f064227cee32ee2a960447']}
2018-03-13,FOX Shows,Wicked Tuna,2012,1,10,Good to the Last Bite,{'fox': ['69964a77f48cf5a92fb9730c1303c7b8']}
2018-03-13,FOX Shows,Wicked Tuna,2012,1,9,Pirate Problems,{'fox': ['2715fad6cf5e69b04c3a1e6cbc3514c9']}
2018-03-13,FOX Shows,Wicked Tuna,2012,1,8,Grudge Match,{'fox': ['bb8bb9f798e404433c05046c7e0b88f5']}
2018-03-13,FOX Shows,Wicked Tuna,2012,1,7,Mutiny at Sea,{'fox': ['deb1f8b8cff2ab6554156f6af6e64479']}
2018-03-13,FOX Shows,Wicked Tuna,2012,1,6,Man v. Storm,{'fox': ['d0e7f38562b844f0e477c23bae66f29f']}
2018-03-13,FOX Shows,Wicked Tuna,2012,1,5,"Greed, Ego & Jealousy",{'fox': ['315684e05bbbad32fd76a07628980e11']}
2018-03-13,FOX Shows,Wicked Tuna,2012,1,4,Size Matters,{'fox': ['11008bfdc74fddeb8289a5f72aa63dbd']}
2018-03-13,FOX Shows,Wicked Tuna,2012,1,3,Weekend Warriors,{'fox': ['ac78cf696bfa37aabea319c7ed6f6c0c']}
2018-03-13,FOX Shows,Wicked Tuna,2012,1,2,Payback's a Fish,{'fox': ['47a471b71b6978fb67651ca2a95b1e36']}
2018-03-13,FOX Shows,Wicked Tuna,2012,1,1,The Bite is On,{'fox': ['2b520ffed787ede4b9a972275b7d07bc']}
2018-03-13,FOX Shows,Bob's Burgers,2011,8,8,Y Tu Ga-Ga Tambien,{'fox': ['a71f971e73e705c8babb2bc894d03710']}
2018-03-13,FOX Shows,Bob's Burgers,2011,8,7,V for Valentine-detta,{'fox': ['0a763ea527756c2717a2b0ffdaa73808']}
2018-03-13,FOX Shows,Bob's Burgers,2011,8,6,The Bleakening,{'fox': ['7db7fb15cd36a2eaf01b8e35d1043e3a']}
2018-03-13,FOX Shows,Bob's Burgers,2011,8,5,Thanks-hoarding,{'fox': ['41e71c9f02463e586a516691a5b47c6a']}
2018-03-13,FOX Shows,Bob's Burgers,2011,8,4,Sit Me Baby One More Time,{'fox': ['83842957ea21887d233224dafb201e2c']}
2018-03-13,FOX Shows,Bob's Burgers,2011,8,3,The Wolf of Wharf Street,{'fox': ['ede2509031d143ea7d9386af2e32c0fb']}
2018-03-13,FOX Shows,Bob's Burgers,2011,8,2,The Silence of the Louise,{'fox': ['28b27ad1233f3dec5e7f31093eac5d35']}
2018-03-13,FOX Shows,Bob's Burgers,2011,8,1,Brunchsquatch,{'fox': ['5505ee744ea73fa6286ce5a3bd78aa97']}
2018-03-13,FOX Shows,Rocky Mountain Animal Rescue,2018,1,2,Lights Out,{'fox': ['313275b9c7c06ca62cf9f2800cbbd774']}
2018-03-13,FOX Shows,Rocky Mountain Animal Rescue,2018,1,1,Duck and Cover,{'fox': ['1f599316174bdbdac930b331947d324a']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,12,7,Storm's a-Mooin',{'fox': ['89cd712662e3a9c1676460655df9f266']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,12,6,"Don't Turkey, Be Happy!",{'fox': ['7c2cbe82af7f05c80a03ec21353ebea0']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,12,5,Three Vets and a Baby,{'fox': ['6d2886103fb56b966c793355c6f6441a']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,12,4,Pop! Goes the Beagle,{'fox': ['16eb57fe5417551230214bb57837e8ba']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,12,3,"Birth, Wind & Fire",{'fox': ['b81c3745b35a5626bcf3ebeb223a20f8']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,12,2,Rock-a-Baa Baby,{'fox': ['166bef992d5f83553678d99c187d6562']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,12,1,What's Moo with Ewe?,{'fox': ['0e4ad157ed3e6e18a2f2770bca814ca9']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,12,Sherlock Pol-mes,{'fox': ['840a294395549061ab9079a8a0386e79']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,11,Purr-fect Pairs,{'fox': ['3e840c2d79d7333b83b897f7d62b906c']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,10,Dairy Poppins,{'fox': ['0d68bc434f7ca97492dfae5bcb8716d9']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,9,Frosty the Pol-man,{'fox': ['4d46ccc343482da3671d224c7b2b1bc5']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,8,K-9 to 5,{'fox': ['8d8e1b5a38e2802e65b627852085607d']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,7,Mamma Mia!,{'fox': ['ce319a913b5172fcbd8adc20a5203510']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,6,Pe-Pol's Choice,{'fox': ['1f58e82bdc2b6ef88d6a13bbadfd7731']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,5,Show Me the Honey,{'fox': ['ee87e78cac81dd8c856a9b3c7c247643']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,4,Pol Side of the Moon,{'fox': ['675e02778155ee99a7dbf413bddeaf98']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,3,Happy Birthday to Moo!,{'fox': ['995ce95dfa079986fe6c42f6682b4407']}
2018-03-13,FOX Shows,The Incredible Dr. Pol,2011,11,2,Hooked on a Feline,{'fox': ['2ba4dd0b742d1ed616a01a570d219104']}
