Scraped date,Category,Series Title,Release Year,Season Num,Episode Num,Episode Title,Links
2018-03-14,FX Shows,THE ASSASSINATION OF GIANNI VERSACE: AMERICAN CRIME STORY,2018,2,7,ASCENT,{'FxShows': ['1177463875775']}
2018-03-14,FX Shows,THE ASSASSINATION OF GIANNI VERSACE: AMERICAN CRIME STORY,2018,2,6,DESCENT,{'FxShows': ['1171149379613']}
2018-03-14,FX Shows,THE ASSASSINATION OF GIANNI VERSACE: AMERICAN CRIME STORY,2018,2,5,DON'T ASK DON'T TELL,{'FxShows': ['1159108163986']}
2018-03-14,FX Shows,THE ASSASSINATION OF GIANNI VERSACE: AMERICAN CRIME STORY,2018,2,4,HOUSE BY THE LAKE,{'FxShows': ['1152150595515']}
2018-03-14,FX Shows,THE ASSASSINATION OF GIANNI VERSACE: AMERICAN CRIME STORY,2018,2,3,A RANDOM KILLING,{'FxShows': ['1146547779720']}
2018-03-14,FX Shows,THE ASSASSINATION OF GIANNI VERSACE: AMERICAN CRIME STORY,2018,2,2,MANHUNT,{'FxShows': ['1143514691805']}
2018-03-14,FX Shows,THE ASSASSINATION OF GIANNI VERSACE: AMERICAN CRIME STORY,2018,2,1,THE MAN WHO WOULD BE VOGUE,{'FxShows': ['1138459715638']}
2018-03-14,FX Shows,ATLANTA,2016,2,2,SPORTIN' WAVES,{'FxShows': ['1175821379643']}
2018-03-14,FX Shows,ATLANTA,2016,2,1,ALLIGATOR MAN,{'FxShows': ['1177194563734']}
2018-03-14,FX Shows,BASKETS,2016,3,8,COMMERCIAL,{'FxShows': ['1182463043747']}
2018-03-14,FX Shows,BASKETS,2016,3,7,WOMEN'S CONFERENCE,{'FxShows': ['1175821379733']}
2018-03-14,FX Shows,BASKETS,2016,3,6,THANKSGIVING,{'FxShows': ['1170046531572']}
2018-03-14,FX Shows,BASKETS,2016,3,5,SWEAT EQUITY,{'FxShows': ['1164082243673']}
2018-03-14,FX Shows,BASKETS,2016,3,4,A NIGHT AT THE OPERA,{'FxShows': ['1157787203704']}
