Scraped Date,Category,Series Title,Release Year,Season Number,Episode Number,Episode Title,Links
2018-04-10,TBS Shows,American Dad,2005,5,2,A JONES FOR A SMITH,{'tbs': ['8094f1256312a12fd83b4f904a0e8ab668cb1c0a']}
2018-04-10,TBS Shows,American Dad,2005,5,3,MAY THE BEST STAN WIN,{'tbs': ['67dfbc7496b63455545856b9088d141f71b46151']}
2018-04-10,TBS Shows,American Dad,2005,5,4,RETURN OF THE BLING,{'tbs': ['6f0758d8683c8752331af64ce2013e667212a620']}
2018-04-10,TBS Shows,American Dad,2005,5,5,COPS AND ROGER,{'tbs': ['02865b74ecbf8d1c3fdeea3184dad0340db59400']}
2018-04-10,TBS Shows,American Dad,2005,5,6,MERLOT DOWN DIRTY SHAME,{'tbs': ['278d98493a483c0f22e914aa46881ed4a15a8eaf']}
2018-04-10,TBS Shows,American Dad,2005,5,7,BULLY FOR STEVE,{'tbs': ['8db02766a5980e1644ffc4d66b40143ec58b378d']}
2018-04-10,TBS Shows,American Dad,2005,5,8,AN INCIDENT AT OWL CREEK,{'tbs': ['e5842e867ece3c579178bb0a09d7405b139dde64']}
2018-04-10,TBS Shows,American Dad,2005,5,9,GREAT SPACE ROASTER,{'tbs': ['028870aed3a8307dfc3a3db1e4ffb22f73dc57ff']}
2018-04-10,TBS Shows,American Dad,2005,6,1,100 A.D.,{'tbs': ['51845146ec54c9b203d3d34984ff56bde1d0d463']}
2018-04-10,TBS Shows,American Dad,2005,6,2,SON OF STAN,{'tbs': ['05f8a8c0e8941e30fb400f03835a071a208f1ab1']}
2018-04-10,TBS Shows,American Dad,2005,6,3,BEST LITTLE HORROR HOUSE IN LANGLEY FALLS,{'tbs': ['0c868fcc197a8d4e8339d74aeb22272b600e4eeb']}
2018-04-10,TBS Shows,American Dad,2005,6,4,STAN'S FOOD RESTAURANT,{'tbs': ['44261bea459eca8a93c13eb25ed09e9d18f7cb50']}
2018-04-10,TBS Shows,American Dad,2005,6,5,WHITE RICE,{'tbs': ['fba219bd864f0e8d2677e04e8b1b8b6503dc53fb']}
2018-04-10,TBS Shows,American Dad,2005,6,6,THERE WILL BE BAD BLOOD,{'tbs': ['4e09ec5035fa9dbc0ab6ef393361a35ea730968e']}
2018-04-10,TBS Shows,American Dad,2005,13,1,PARANOID_FRANDROID,{'tbs': ['45194685909226105d16342e0e07a2c756572849']}
2018-04-10,TBS Shows,American Dad,2005,13,2,THE CENSUS OF THE LAMBS,{'tbs': ['f1de4304ea5b7697a5dffa1a6f68bcfa2d2653f3']}
