Scarped Date,Category,Movie Title,Release Year,Link,Credit
2018-04-10,TNT Movies,Catch Me If You Can,2002,{'tbs': ['500db5b77fd7562990448771f259347b6b540504']},"['Leonardo DiCaprio', 'Tom Hanks', 'Amy Adams', 'Christopher Walken', 'Martin Sheen']"
2018-04-10,TNT Movies,Killers,2002,{'tbs': ['bf4c26663742776f8692239f8b51c7edb9d3f302']},"['Ashton Kutcher', 'Katherine Heigl', 'Katheryn Winnick', 'Tom Selleck', ""Catherine O'Hara""]"
2018-04-10,TNT Movies,Now You See Me,2013,{'tbs': ['4211015e4790078ab1b826e8fa6e7486d729c375']},"['Jesse Eisenberg', 'Dave Franco', 'Mark Ruffalo', 'Woody Harrelson', 'Morgan Freeman']"
2018-04-10,TNT Movies,Eagle Eye,2008,{'tbs': ['dc3bfccc33e8802ed77b1e904e50648b59a73fe6']},"['Shia LaBeouf', 'Michelle Monaghan', 'Rosario Dawson', 'Billy Bob Thornton', 'Michael Chiklis']"
2018-04-10,TNT Movies,Think Like a Man,2012,{'tbs': ['7e11821c975a2b8b0005f1bde1515600b94a7f52']},"['Kevin Hart', 'Michael Ealy', 'Meagan Good', 'Taraji P. Henson', 'Gabrielle Union']"
2018-04-10,TNT Movies,Green Zone,2010,{'tbs': ['941abde99d8e525b619c319e4eee4a772f0dca05']},"['Matt Damon', 'Greg Kinnear', 'Jason Isaacs', 'Amy Ryan', 'Brendan Gleeson']"
2018-04-10,TNT Movies,300: Rise of an Empire,2014,{'tbs': ['85389c550b284a4497f8217b8c1818fe481967d9']},"['Eva Green', 'Sullivan Stapleton', 'Lena Headey', 'Rodrigo Santoro', ""Jack O'Connell""]"
2018-04-10,TNT Movies,Percy Jackson and the Olympians: The Lightning Thief,2010,{'tbs': ['2c889ce5bf83e04ae16ae34f2a717e8a782bd191']},"['Logan Lerman', 'Alexandra Daddario', 'Brandon T. Jackson', 'Jake Abel', 'Pierce Brosnan']"
2018-04-10,TNT Movies,Maleficent,2014,{'tbs': ['8b24f85d540a7babcd3ab6f53d366e57e5a56054']},"['Angelina Jolie', 'Elle Fanning', 'Ella Purnell', 'Sam Riley', 'Brenton Thwaites']"
2018-04-10,TNT Movies,American Gangster,2007,{'tbs': ['cf924f0157437edb0e0ad29162fcd91ae6b6a053']},"['Denzel Washington', 'Russell Crowe', 'Josh Brolin', 'Chiwetel Ejiofor', 'RZA']"
2018-04-10,TNT Movies,The Kingdom,2007,{'tbs': ['4cf651571547c84d67ccb1fab972d503277001da']},"['Jennifer Garner', 'Jamie Foxx', 'Jason Bateman', 'Chris Cooper', 'Ashraf Barhom']"
2018-04-10,TNT Movies,The Girl with the Dragon Tattoo,2011,{'tbs': ['d03522710da39d4d2763c6dbdc37b00faf16d3fc']},"['Rooney Mara', 'Daniel Craig', 'Christopher Plummer', 'Stellan Skarsgrd', 'Robin Wright']"
2018-04-10,TNT Movies,Blade II,2002,{'tbs': ['bb7ab5b19ec30e85f1b28c3c58700d2bb0666b7c']},"['Wesley Snipes', 'Norman Reedus', 'Ron Perlman', 'Kris Kristofferson', 'Donnie Yen']"
2018-04-10,TNT Movies,Oz: The Great and Powerful,2013,{'tbs': ['19c47328742d88a7ee038f38ffafe75f0e7f2748']},"['James Franco', 'Mila Kunis', 'Michelle Williams']"
2018-04-10,TNT Movies,Live Free or Die Hard,2007,{'tbs': ['7b94cb5ddf8faca1911bd6c893f1098fdb55790b']},"['Bruce Willis', 'Justin Long', 'Maggie Q', 'Timothy Olyphant', 'Mary Elizabeth Winstead']"
2018-04-10,TNT Movies,Flightplan,2005,{'tbs': ['d0141255bbd17f0120aa859ec632a1e13528b649']},"['Jodie Foster', 'Sean Bean', 'Peter Sarsgaard', 'Kate Beahan', 'Erika Christensen']"
2018-04-10,TNT Movies,Blade: Trinity,2004,{'tbs': ['ad511c45d220c4d683f9679ae57f2e743c073610']},"['Ryan Reynolds', 'Wesley Snipes', 'Jessica Biel', 'Kris Kristofferson', 'Parker Posey']"
2018-04-10,TNT Movies,Exodus: Gods and Kings,2014,{'tbs': ['7eeecfe5fa059e8600588d53ecdcf3e1f518b0c7']},"['Christian Bale', 'Joel Edgerton', 'Sigourney Weaver', 'Aaron Paul', 'John Turturro']"
2018-04-10,TNT Movies,The Expendables 3,2014,{'tbs': ['ea889c4e1ea53691bde6f551cce639a2fbc14311']},"['Sylvester Stallone', 'Jason Statham', 'Arnold Schwarzenegger', 'Mel Gibson', 'Wesley Snipes']"
2018-04-10,TNT Movies,Run All Night,2015,{'tbs': ['4c7deca1f32f1cab00a8cdcddff09a635321d17d']},"['Liam Neeson', 'Joel Kinnaman', 'Ed Harris', 'Genesis Rodriguez', 'Boyd Holbrook']"
