Scraped Date,Category,Series Title,Release Year,Season Number ,Epipsode Number,Episode Title,Links
2018-04-10,TNT Shows,The Alienist,2018,1,1,The Boy on the Bridge,{'tnt': ['f07d9db224236016b0d7932a7c4524db2d530fec']}
2018-04-10,TNT Shows,The Alienist,2018,1,2,A Fruitful Partnership,{'tnt': ['e3cc4fbf5f5be4e6b25b64ed9d8411cbf6a89a7c']}
2018-04-10,TNT Shows,The Alienist,2018,1,3,Silver Smile,{'tnt': ['e009afdebcbcd17c0d3d1314037052dd9e117d84']}
2018-04-10,TNT Shows,The Alienist,2018,1,4,These Bloody Thoughts,{'tnt': ['f270ac96fd232d6ac0817b149a46589a4f923097']}
2018-04-10,TNT Shows,The Alienist,2018,1,5,Hildebrandt's Starling,{'tnt': ['231589e8d5c5dcf00e284b529935a8f34bb5fcd6']}
2018-04-10,TNT Shows,The Alienist,2018,1,6,Ascension,{'tnt': ['9567beb0ed81f8809d67c1ffbf8e02e0eab4eb5f']}
2018-04-10,TNT Shows,The Alienist,2018,1,7,Many Sainted Men,{'tnt': ['ad23540425673a4f1436443c231d79c60f79c769']}
2018-04-10,TNT Shows,The Alienist,2018,1,8,Psychopathia Sexualis,{'tnt': ['65997cc44cd537783dc13d4e39fea3211e7e4880']}
2018-04-10,TNT Shows,The Alienist,2018,1,9,Requiem,{'tnt': ['9a99cc6a17db1da1400d6d248af4d253d8d36004']}
2018-04-10,TNT Shows,The Alienist,2018,1,10,Castle in the Sky,{'tnt': ['ff7a3dac3db4d69c7197e4e1b7c53ac50b55810a']}
2018-04-10,TNT Shows,American Race,2017,1,1,Baltimore Rising,{'tnt': ['7ff33bd1e1412843cb8fc30a52f89fa33fcb41ee']}
2018-04-10,TNT Shows,American Race,2017,1,2,Muslim Is the New Black,{'tnt': ['99b891b2a817e2306d0c4af894419f9f5734f9e1']}
2018-04-10,TNT Shows,American Race,2017,1,3,Entertainment Still So White,{'tnt': ['49d521e6685ef3c99510388a17c4ef7ca8833e5f']}
